DATE,DGS1
2015-03-25,0.25
2015-03-26,0.28
2015-03-27,0.27
2015-03-30,0.27
2015-03-31,0.26
2015-04-01,0.27
2015-04-02,0.25
2015-04-03,0.21
2015-04-06,0.21
2015-04-07,0.22
2015-04-08,0.22
2015-04-09,0.22
2015-04-10,0.24
2015-04-13,0.23
2015-04-14,0.23
2015-04-15,0.23
2015-04-16,0.22
2015-04-17,0.23
2015-04-20,0.24
2015-04-21,0.23
2015-04-22,0.23
2015-04-23,0.24
2015-04-24,0.24
2015-04-27,0.25
2015-04-28,0.24
2015-04-29,0.25
2015-04-30,0.24
2015-05-01,0.25
2015-05-04,0.25
2015-05-05,0.24
2015-05-06,0.25
2015-05-07,0.24
2015-05-08,0.23
2015-05-11,0.25
2015-05-12,0.25
2015-05-13,0.24
2015-05-14,0.23
2015-05-15,0.23
2015-05-18,0.22
2015-05-19,0.23
2015-05-20,0.23
2015-05-21,0.22
2015-05-22,0.23
2015-05-25,.
2015-05-26,0.24
2015-05-27,0.27
2015-05-28,0.26
2015-05-29,0.26
2015-06-01,0.26
2015-06-02,0.26
2015-06-03,0.26
2015-06-04,0.27
2015-06-05,0.29
2015-06-08,0.27
2015-06-09,0.27
2015-06-10,0.28
2015-06-11,0.28
2015-06-12,0.28
2015-06-15,0.28
2015-06-16,0.28
2015-06-17,0.27
2015-06-18,0.26
2015-06-19,0.25
2015-06-22,0.27
2015-06-23,0.30
2015-06-24,0.30
2015-06-25,0.29
2015-06-26,0.29
2015-06-29,0.27
2015-06-30,0.28
2015-07-01,0.28
2015-07-02,0.26
2015-07-03,.
2015-07-06,0.26
2015-07-07,0.25
2015-07-08,0.24
2015-07-09,0.25
2015-07-10,0.28
2015-07-13,0.28
2015-07-14,0.27
2015-07-15,0.28
2015-07-16,0.29
2015-07-17,0.29
2015-07-20,0.31
2015-07-21,0.34
2015-07-22,0.34
2015-07-23,0.33
2015-07-24,0.32
2015-07-27,0.32
2015-07-28,0.32
2015-07-29,0.33
2015-07-30,0.36
2015-07-31,0.33
2015-08-03,0.33
2015-08-04,0.37
2015-08-05,0.38
2015-08-06,0.35
2015-08-07,0.38
2015-08-10,0.40
2015-08-11,0.37
2015-08-12,0.37
2015-08-13,0.40
2015-08-14,0.41
2015-08-17,0.40
2015-08-18,0.42
2015-08-19,0.39
2015-08-20,0.39
2015-08-21,0.36
2015-08-24,0.33
2015-08-25,0.36
2015-08-26,0.35
2015-08-27,0.36
2015-08-28,0.38
2015-08-31,0.39
2015-09-01,0.39
2015-09-02,0.37
2015-09-03,0.36
2015-09-04,0.36
2015-09-07,.
2015-09-08,0.39
2015-09-09,0.39
2015-09-10,0.39
2015-09-11,0.40
2015-09-14,0.40
2015-09-15,0.47
2015-09-16,0.46
2015-09-17,0.39
2015-09-18,0.35
2015-09-21,0.36
2015-09-22,0.35
2015-09-23,0.34
2015-09-24,0.32
2015-09-25,0.35
2015-09-28,0.34
2015-09-29,0.33
2015-09-30,0.33
2015-10-01,0.31
2015-10-02,0.25
2015-10-05,0.26
2015-10-06,0.26
2015-10-07,0.27
2015-10-08,0.27
2015-10-09,0.28
2015-10-12,.
2015-10-13,0.27
2015-10-14,0.21
2015-10-15,0.22
2015-10-16,0.23
2015-10-19,0.23
2015-10-20,0.23
2015-10-21,0.23
2015-10-22,0.23
2015-10-23,0.24
2015-10-26,0.25
2015-10-27,0.29
2015-10-28,0.33
2015-10-29,0.33
2015-10-30,0.34
2015-11-02,0.37
2015-11-03,0.39
2015-11-04,0.40
2015-11-05,0.42
2015-11-06,0.47
2015-11-09,0.47
2015-11-10,0.51
2015-11-11,.
2015-11-12,0.51
2015-11-13,0.50
2015-11-16,0.50
2015-11-17,0.50
2015-11-18,0.49
2015-11-19,0.49
2015-11-20,0.49
2015-11-23,0.50
2015-11-24,0.52
2015-11-25,0.52
2015-11-26,.
2015-11-27,0.50
2015-11-30,0.51
2015-12-01,0.51
2015-12-02,0.52
2015-12-03,0.57
2015-12-04,0.60
2015-12-07,0.67
2015-12-08,0.76
2015-12-09,0.72
2015-12-10,0.71
2015-12-11,0.68
2015-12-14,0.68
2015-12-15,0.69
2015-12-16,0.70
2015-12-17,0.69
2015-12-18,0.67
2015-12-21,0.64
2015-12-22,0.66
2015-12-23,0.65
2015-12-24,0.64
2015-12-25,.
2015-12-28,0.66
2015-12-29,0.67
2015-12-30,0.64
2015-12-31,0.65
2016-01-01,.
2016-01-04,0.61
2016-01-05,0.68
2016-01-06,0.67
2016-01-07,0.66
2016-01-08,0.64
2016-01-11,0.63
2016-01-12,0.62
2016-01-13,0.60
2016-01-14,0.55
2016-01-15,0.49
2016-01-18,.
2016-01-19,0.48
2016-01-20,0.43
2016-01-21,0.44
2016-01-22,0.47
